Timestamp,creative_data_id,"Is there a call to go online (e.g., shop online, visit the Web)? ","Is there online contact information provided (e.g., URL, website)? ","Is there a visual or verbal call to purchase (e.g., buy now, order now)?","Does the ad portray a sense of urgency to act (e.g., buy before sales end, order before it ends)? ","Is there an incentive to buy (e.g., a discount, a coupon, a sale, or 'limited time offer')? ","Is there offline contact information provided (e.g., phone, mail, store location)?",Is there mention of something free? ,"Does the ad mention at least one specific product or service (e.g., model, type, item)? ",Is there any verbal or visual mention of the price?,"Does the ad show the brand (logo, brand name) or trademark (something that most people know is the brand) multiple times?

For example, Nike ads often have the ""swoosh"" logo prominently displayed on shoes and apparel worn by celebrity athletes. The ""Just Do It"" slogan is another Nike trademark frequently included.",Does the ad show the brand or trademark exactly once at the end of the ad?,"Is the ad intended to affect the viewer emotionally, either with positive emotion (fun, joy), negative emotion (sad, anxious) or another type of emotion? (Note: You may not personally agree, but assess if that was the intention.)","If ""yes"" to the above, which of the following emotions is closest to the emotion that the ad was intending the viewer to feel? (Select all that apply.)","If yes to the above, did the ad successfully affect you emotionally, as intended?",Does the ad give you a positive feeling about the brand? ,"Does the ad have a story arc, with a beginning and an end? ","Does the ad have a reversal of fortune, where something changes for the better, or changes for the worse?",Does the ad have relatable characters? ,Is the ad creative/clever?,"Is the ad intended to be funny? (Note: You may not personally agree, but assess if that was the intention.)","If yes to the above, was the ad successfully funny, as intended?","Does this ad provide sensory stimulation (e.g., cool visuals, arousing music, mouth-watering)? ",Is the ad visually pleasing?,"Does the ad have cute elements like animals, babies, animated, characters, etc?",Was there a famous person in this ad? ,"If yes to the above, write the name of the famous person, if known.",What happened in this ad? (Answer in 2-3 sentences each),What was/were the company's goal(s) with this ad? Choose (potentially multiple) from:,How successful was the ad in achieving its goal(s)?,"How much did you like the ad? (1. Strongly dislike, 2. Dislike, 3. Neither Like or Dislike, 4. Like, 5. Strongly Like)","What was the slogan presented in the ad, if any?","After addressing the specific survey items, write a general description of the ad. You can use answers to the questions above to formulate your answer. Your description should include:
Brand and Product Identification: 
Specify the brand and whether a product is being advertised. (1 sentence)
Visual Elements: Describe what is seen on the screen, including setting, characters, and any text or graphics. (max 2 sentences)
Auditory Elements: Note what is heard, such as dialogue, voice-over, music, or sound effects. (max 2 sentences)
",Any additional feedback or things we should be aware of? ,Please enter the video identifier one more time (e.g. 123456789.mp4)
5/22/2024 14:44:00,1625396,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,"Amusement, Joy, Desire, Curiosity",Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,na,"In this ad, a little girl is shown admiring a Lexus brand car, then the little girl suddenly transforms into an adult age woman and her husband is reveiled too. He makes a funny remark that they the car doesn't belong to her only","Increase awareness of product/brand, Directly persuade consumers to purchase, Make consumers feel good about their purchase",4,4,experience amazing,"The brand is a Lexus car, i didn't see the model, and yes it is the product being advertised. The setting is a snowy one. I believe the characters are in front of their house. There is a dog, a man and a woman, supposedly couples. The woman asserts her admiration for the Lexus car and her husband chimes that the car belongs to them both.",na,1625396
5/17/2024 23:35:17,1641167,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,"Joy, Caring",No,Yes,No,No,Yes,No,No,N/A,Yes,Yes,Yes,No,None,"In this ad there are multiple scenes of families in different rooms of homes such as the dining room, living room, and kitchen. Most of the scenes seem to take place around Christmas time as everyone is together baking and eating Pillsbury baked goods products.","Increase awareness of product/brand, Change how consumers feel about the product/brand, Make consumers feel good about their purchase",3,3,"""Made at home.""","The brand of this ad is Pillsbury and they are showing their main products such as cinnamon rolls, crescent roll, and cookies. The ad shows different happy families being together to celebrate the holidays by partaking in baking or eating Pillsbury products. At the forefront of the soft piano melody, there is a narrator explaining the importance of making and cherishing memories with family members of all ages, and how irreplaceable and sentimental these moments are. ",None,1641167.mp4
5/18/2024 22:07:21,1641167,No,Yes,No,No,No,No,No,Yes,"Yes, visual",Yes,Yes,Yes,Caring,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,Yes,Yes,No,n/a,"This ad showcases multiple families during Christmas time, as they celebrate the holiday together. Throughout the ad, the families cook together, using Pillsbury cinnamon roll and croissant dough. They share these baked goods together as they laugh and celebrate the holiday. ","Change what consumers know about the product/brand, Change how consumers feel about the product/brand, Increase consumer loyalty to the product/brand, Make consumers feel good about their purchase",4,4,"Pillsbury ""made at home""","The brand is Pillsbury Dough and the products being advertised is their line of Pillbury dough products (cinnamon roll dough, croissant dough, etc.). On the screen, different families are shown celebrating Christmas together. We see these families cook the Pillsbury dough products and then enjoy the baked goods together. There is a voice-over throughout the ad, along with the instrumental version of ""A Silent Night."" The voice-over describes that certain things can't be bought, such as time, memories, traditions, and more, because these things are ""made at home.""",n/a,1641167.mp4
5/22/2024 14:49:39,1641167,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,"Amusement, Joy, Caring",Yes,Yes,No,No,No,Yes,No,N/A,No,Yes,Yes,No,na,"A man is talking about how you cant buy intangible things like love, kindness because they are made at home.","Increase awareness of product/brand, Directly persuade consumers to purchase",5,5,na,The brand is Pillsbury and it shoes various products like the cinnamon rolls and sugar cookies.,na,1641167
5/24/2024 10:34:57,1641167,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,"Caring, Gratitude",Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,Yes,Yes,No,N/A,"Multiple families were coming together at home, doing things like putting a Christmas tree together, eating together and making Pillsbury croissansts, cinnamon rolls and cookies together. There were also scenes of the Pillsbury cinnamon rolls in an oven which was visually appealing. The ad ended with multiple products being showed with the slogan ""Made at home"".","Change how consumers feel about the product/brand, Increase consumer loyalty to the product/brand, Make consumers feel good about their purchase",4,4,Made at home,"The brand in this ad was Pillsbury. The characters were families including grand parents, babies , young kids etc.These families were diverse, some big, some small. They were all smiling. Some scenes showed the pillsbury product being made and a baby grabbing one to eat at a dinner table with his family. The music playing sounded like a piano. The voice over was a man describing how important family time is. how important traditions are etc. He mentions things that can't be bought such as kindness, time, memories, traditions, rituals. ",N/A,1641167.mp4
5/15/2024 22:13:31,1661301,Yes,No,Yes,Yes,Yes,No,No,No,"Yes, both",Yes,Yes,Yes,Joy,No,No,No,No,Yes,No,No,N/A,No,No,No,No,n/a,The ad shows people excited in the Ford dealer store during the holiday season. The people are cheerful and browsing around looking at the vehicles. ,Directly persuade consumers to purchase,3,3,n/a,"Ford's year end sales event. There is elements of the holiday season (trees, lights) in the Ford dealer shop and cheerful customers looking at vehicles. There is music with the lyrics ""I'm on top of the world"" playing in the background. There is a voiceover explaining the sales event deals, along with visuals on the screen. ",no,1661301 MP4
5/18/2024 22:13:48,1661301,No,No,Yes,Yes,Yes,No,No,No,"Yes, both",Yes,Yes,No,,N/A,No,No,No,No,No,No,N/A,No,Yes,No,No,n/a,"This ad showcases people shopping in the Ford dealership. The main focus of this ad is its verbal description, as the voice-over provides information on the deal that this ad is promoting. ",Directly persuade consumers to purchase,3,3,n/a,"The brand is Ford Automobiles and there is not a specific product being advertised. The ad is set in a Ford dealership, showcasing people and families shopping for cars. At the end of the ad, there is a graphic describing the deal that the year-end sales event is offering (0& APR Ford Credit Financing, 72 months, $1,000 Ford credit cash). The voice-over is the main focus of this ad, which is featured alongside the song ""I'm on Top of the World."" The voice-over urges customers to hurry and buy a car while this year-end sales event deal lasts.  ",n/a,1661301.mp4
5/23/2024 2:51:54,1661301,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,"Joy, Desire",No,Yes,No,No,No,No,No,N/A,Yes,No,No,No,n/a,Ford was advertising their End of the Year Sales Event. In the ad we see many families coming in the store to see and tryout the cars. ,"Increase awareness of product/brand, Directly persuade consumers to purchase",4,3,n/a,"Ford was advertising their Year End Sale Event. You see multiple families talking to dealers and trying at cars.For this ad they kept a blue and white theme for all their text. The instrumental featured in this ad was ""I'm on top of the world"" by Imagine Dragons but a calmer and version. In the voice over they made sure to mention in the beginning and end of the ad that the sale's event is almost over to emphasize the urgency. ",n/a,1661301.mp4
5/24/2024 10:50:46,1661301,No,Yes,Yes,Yes,Yes,No,Yes,Yes,"Yes, both",Yes,Yes,Yes,"Amusement, Joy",Yes,Yes,No,No,Yes,Yes,No,N/A,No,Yes,Yes,No,N/A,"The ad started off by showing a family excited as they came into a Ford dealership. In the store, there were multiple people looking around with smiles on their face as they checked out a lineup of Ford products. The ad was promoting the Final days of their years end sales event.","Increase awareness of product/brand, Directly persuade consumers to purchase",4,4,America's Best Selling Brand,"The brand is Ford and the products being advertised were a full lineup of Ford cars, trucks and suv's. 
The setting is in a Ford dealership with a variety of Ford products in different sizes and colors. There were multiple customers looking around , speaking to Ford associated and I even saw a customer and associate shake hands signifying a purchase has been made. On the screen and in the voice over, the deal being promoted was 0% financing for 72months plus an extra $1000 Ford cash back. Some call to actions in the voice over were ""hurry and save big"", ""last chance"" , ""final days"".",N/A,1661301.mp4
5/15/2024 22:25:29,1667694,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,"Amusement, Joy",Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,n/a,"The ad shows a character, Charlie, who can do everyday activities because he took Delsym. Delsym has provided him relief for his cough for 12+ hours.","Increase awareness of product/brand, Directly persuade consumers to purchase, Increase consumer loyalty to the product/brand",4,4,"""the joy of not coughing""","Charlie is shown being able to do everyday tasks such as getting ready, going to work as a zoo keeper and taming animals, and being at social events like a birthday party because of taking Deslym which has relieved him from his coughs. There is a voice-over that narrates him doing these things and explaining that it is all due to him taking Delsym 12 hours. ",n/a,1667694 MP4
5/16/2024 8:29:43,1667694,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,"Amusement, Joy",Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,N/A,"A man experiences the joys of the world by not coughing. This is displayed through a series of scenarios where not coughing is beneficial such as, feeding a sleeping tiger, sitting still while being shaved, and to be quiet during a surprise party.","Increase awareness of product/brand, Directly persuade consumers to purchase, Increase consumer loyalty to the product/brand",4,5,"""The joy of not coughing""","Product: Delsym cough relief medication

Visual elements: Delsym packaging material, Text to display the fact its recommended by doctors for cough relief, multiple settings where the main character enjoys not coughing.

Auditory Elements: Narration, cheering sound effects, background music ",no,1667694.mp4
5/23/2024 2:58:52,1667694,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,"Desire, Curiosity",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,n/a,"We follow Charlie who took Delsym and was able to do his daily tasks because he didn't need to cough. He was able to go to work, the barber and his grandma's birthday party due to Delsym with no difficulty.","Increase awareness of product/brand, Change what consumers know about the product/brand, Directly persuade consumers to purchase",4,4,The joy of not coughing,"Delsym is advertising their 12 hour cough relief. We are introduced to Charlie and see multiple instances where he benefitted from not coughing thanks to Delsym. The narrator mentions Delsym is also good for kids 4+ and pediatrician recommended, which would appeal to parents so they don't have to buy separate cough medication. ",n/a,1667694.mp4
5/16/2024 8:37:37,1671240,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Yes, both",Yes,Yes,Yes,"Amusement, Curiosity",Yes,Yes,No,No,No,No,No,N/A,Yes,No,Yes,Yes,"Not sure of the names but actors were shown off during the ""Netflix on us"" segment","T-mobile is advertising a sale where a family line of 4 unlimited lines for $40 each, including a family Netflix package for free. Multiple different shows that Netflix has on their service are played in the background.","Increase awareness of product/brand, Directly persuade consumers to purchase, Make consumers feel good about their purchase",5,2,"""America's best unlimited network""","Product: T-Mobile unlimited family plan, includes free Netflix streaming (4 lines $40 each line)

Visual Elements: Multitude of different shows Netflix has to offer, T-Mobile graphics (phone, computer, TV), family watching TV.

Auditory Elements: Dialogue from shows in the background and the narrator advertising the service. ",information/sensory overload is present with the amount of shows running in the background,1671240.mp4
5/19/2024 21:34:01,1671240,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,"Amusement, Joy",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,no,t-mobile is collobarting with netflix so it is showing the cross over of how if you get t-mobile you get netflix,"Change how consumers feel about the product/brand, Directly persuade consumers to purchase",4,4,America's Best unlimited network,they used famous shows from netflix and intertwined it with t-mobile to show like how you can watch no matter where you are with the best network.,no,1671240
5/23/2024 3:06:47,1671240,No,Yes,Yes,No,No,No,Yes,Yes,"Yes, both",Yes,No,Yes,Desire,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,n/a,T-Mobile mainly talked about how they'll cover Netflix family accounts if you pay $40 for 4 lines. Throughout the ad we see multiple clips from  Netflix's biggest shows.,"Increase awareness of product/brand, Directly persuade consumers to purchase, Increase consumer loyalty to the product/brand",4,3,n/a,t-Mobile is advertising that if you use T-Mobile they'll cover Netflix for the whole family and you only have to pay $40 for 4 lines. Throughout the ad they mainly used Netflix clips to help further their point. The narrator will talk about the sale and they would use a clip from a show that makes it look like they're surprised about the deal.You can hear T-Mobile's classic jingle at the end of the ad.,no,1671240.mp4
